Operator Clock Number,Heat Number,Sequence Number,LEW Grade Index,USS Grade ,Treatment Start Date,Treatment Start Time,Total Cycle Time,Hot Metal Weight,HM WGT TONS,Hot Metal Start Temp,Hot Metal Silicon,Start Sulfur,Aim Sulfur,Actual Aim Sulfur,Final Sulfur,0,Ordered Mg,Actual Mg,MG Kg/T,$ mag ,Ordered Lime,Actual Lime,lime Kg/T,$ Lime ,TOTAL $,$ / TON,$/T/P,kg/t/p,,Injection Cycle Time,RATIO,Reshot Final Sulfur,Reshot Ordered Mg,Reshot Actual Mg,Reshot Ordered Lime,Reshot Actual Lime,Reshot Cycle Time,"System ""A"" Usage","System ""B"" Usage","Lance ""A"" Used","Lance ""A"" ID","Lance ""A"" Minutes","Lance ""B"" Used","Lance ""B"" ID","Lance ""B"" Minutes",Skim Weight,SKIM %,Ladle (LD) Analysis Sulfur,RHOB (R) Sulfur,LTS (L) Sulfur,Caster Final (F20) Sulfur,,,,,mag price,lime price
531000000,756655,114,DS0508B,KL16,26/02/2009,04:49:31,00:33:24,218900,219,1310,0.407,0.064,0.004,0.004,0.003,0,198,198,0.9045,$987.6834,535,488,2.229,$162.2600,$1,149.9434,$5.2533,$0.0861,,,00:08:06,2.46,,,,,,00:00:00,1,1,1,41,25:20:00,1,27,11:31:00,4340,1.98%,0.0045,,0.0041,0.0041,,,,,
531000000,801557,61,DS0507J,FK43,26/02/2009,21:27:04,00:28:53,202000,202,1408,0.746,0.032,0.004,0.004,0.004,0,119,119,0.5891,$593.6077,321,309,1.53,$102.7425,$696.3502,$3.4473,$0.1231,,,00:05:38,2.6,,,,,,00:00:00,1,1,1,41,01:06:00,1,27,14:01:00,1720,0.85%,0.0078,,0.0082,0.0076,,,,,,
531000000,801560,64,DS0507L,FK46,26/02/2009,23:49:41,00:30:13,210500,211,1328,0.66,0.037,0.004,0.004,0.003,0,133,132,0.6271,$658.4556,359,384,1.824,$127.6800,$786.1356,$3.7346,$0.1098,,,00:10:08,2.91,,,,,,00:00:00,1,1,1,41,01:28:00,1,27,14:15:00,2320,1.10%,0.0061,,0.0065,0.0061,,,,,,
531000000,801562,66,DS0507L,FK46,27/02/2009,01:20:20,00:29:01,201500,202,1383,0.73,0.026,0.004,0.004,0.004,0,107,107,0.531,$533.7481,289,283,1.404,$94.0975,$627.8456,$3.1159,$0.1416,,,00:06:00,2.64,,,,,,00:00:00,1,1,1,41,01:41:00,1,27,14:20:00,1910,0.95%,0.0069,,0.0067,0.0064,,,,,,
531000000,801564,91,DS0508F,KL24,27/02/2009,02:49:15,00:29:59,199700,200,1390,0.666,0.027,0.004,0.004,0.004,0,107,107,0.5358,$533.7481,289,279,1.397,$92.7675,$626.5156,$3.1373,$0.1364,,,00:05:18,2.61,,,,,,00:00:00,1,1,1,41,01:50:00,1,27,14:29:00,2200,1.10%,0.0066,,0.0081,0.0087,,,,,,
531000000,801566,143,DS0006A,FK41,27/02/2009,04:23:15,00:26:44,204500,205,1351,0.773,0.025,0.004,0.004,0.003,0,106,105,0.5134,$523.7715,286,279,1.364,$92.7675,$616.5390,$3.0149,$0.1370,,,00:05:09,2.66,,,,,,00:00:00,1,1,1,41,01:59:00,1,27,14:37:00,2170,1.06%,0.0052,,0.0068,0.0068,,,,,,
531000000,756672,145,DS0006A,FK41,27/02/2009,05:40:01,00:24:13,211800,212,1386,0.651,0.028,0.004,0.004,0.004,0,116,116,0.5477,$578.6428,313,282,1.331,$93.7650,$672.4078,$3.1747,$0.1323,,,00:04:58,2.43,,,,,,00:00:00,1,1,1,41,02:08:00,1,27,14:46:00,1760,0.83%,0.0056,,0.0068,0.007,,,,,,
531000000,756482,63,DS0001F,AJ04,15/02/2009,06:43:08,00:27:10,204200,204,1392,0.919,0.018,0.006,0.006,0.007,0,71,72,0.3526,$359.1576,192,191,0.935,$63.5075,$422.6651,$2.0699,$0.1882,,,00:03:14,2.65,,,,,,00:00:00,1,1,1,40,18:30:00,1,36,14:09:00,2810,1.38%,0.0082,0.0084,,0.0086,,,,,,
531000000,756582,5,DS0001M,AM03,22/02/2009,16:19:25,00:32:06,210900,211,1382,0.605,0.054,0.006,0.006,0.007,0,149,148,0.7018,$738.2684,402,386,1.83,$128.3450,$866.6134,$4.1091,$0.0874,,,00:06:07,2.61,,,,,,00:00:00,1,1,1,41,13:19:00,1,36,28:18:00,3330,1.58%,0.0074,0.0075,,0.0077,,,,,,
531000000,756584,8,DS0001F,AJ04,22/02/2009,17:59:22,00:25:45,210900,211,1397,0.498,0.053,0.006,0.006,0.007,0,147,146,0.6923,$728.2918,397,367,1.74,$122.0275,$850.3193,$4.0319,$0.0876,,,00:06:06,2.51,,,,,,00:00:00,1,1,1,41,13:32:00,1,36,28:31:00,2300,1.09%,0.0084,0.0082,,0.0083,,,,,,
